✔,slug,title,author,genre,year,start,finish,finish_date,media,w,h,drawing,via,desc,translator,narrator,illustrator
,,"A Swim in a Pond in the Rain: In Which Four Russians Give a Master Class on Writing, Reading, and Life",George Saunders,Essays,2021,2021-09-08,Reading,0,Audiobook,8,16,,.,,,,
,,Color Accessibility Workflows,Geri Coady,Design,2017,2021-08-26,Reading,0,Digital Book,,,,.,,,,
✔,,Why Evil Exists,Charles T. Mathewes,Philosophy,2011,2021-08-25,Reading,0,Audiobook,8,16,,Browsing,,,,
,,Personality Types: Using the Enneagram for Self-Discovery,Don Richard Riso; Russ Hudson,Psychology,1996,2021-08-25,Reading,0,Book,,,,My parents,,,,
,,So You Want to Talk About Race,Ijeoma Oluo,Race,2018,2021-08-21,Shelved,Shelved,Audiobook,8,16,,"Libby, Browsing library",,,Bahni Turpin,
,where-the-crawdads-sing-owens,Where the Crawdads Sing,Delia Owens,Fiction,2018,2021-07-31,2021-08-24,2021,Book,15,24,TRUE,"Kailey read it, gave it to Gma, now we're in AL and I need something to read","""Death's crude pluck, as always, stealing the show.""

https://www.youtube.com/watch?v=SZB8Ak4rkk4",,,
,,Sunjata,Bamba Suso; Banna Kanute,Classics,1999/1975,2021-07-24,Reading,0,Book,,,,Found it in a Little Free Library,,Gordon Innes; Bakari Sidibe,,
,the-half-has-never-been-told-baptist,The Half Has Never Been Told: Slavery and the Making of American Capitalism,Edward E. Baptist,History,2014,2021-07-18,2021-08-21,2021,Audiobook,8,16,TRUE,"Libby, Browsing library","Baptist's work is part of what is called the New History of Capitalism. The premise is that slavery was the main driver of economic growth in the U.S. (rather than an outmoded system that would have eventually collapsed on its own), and that increases in production were impelled more by torture than any technological advances. (For a contrasting view, see [this paper by Olmstead and Rhode](https://web.law.columbia.edu/sites/default/files/microsites/law-economics-studies/olmstead_-_cotton_slavery_and_history_of_new_capitalism_131_nhc_28_sept_2016.pdf).)

Baptist weaves stories from slave narratives, contemporary records, and newspapers, and the overall effect is devastating, revealing an immensity of horror along with the ways a culture nonetheless resisted and survived.",,Ron Butler,
,intimations-smith,Intimations,Zadie Smith,Essays,2020,2021-07-15,2021-07-18,2021,Audiobook,8,16,TRUE,"Libby, Browsing library","""To fear the contagion of poverty is reasonable. To keep voting for policies that ensure the permanent existence of an underclass is what is meant by ‘structural racism’.""",,,
,why-buddhism-is-true-wright,Why Buddhism is True: The Science and Philosophy of Meditation and Enlightenment,Robert Wright,Philosophy? Evolutionary Psychology,2017,2021-06-24,2021-07-15,2021,Audiobook,8,16,TRUE,"Libby, Browsing library","Wright looks at the ways in which Buddhism (of a secular and meditation-centric flavor) correctly evaluates the human condition—this being through the lens of evolutionary psychology, which basically sees human behavior and perception as shaped by natural selection, and thus having many attendant delusions or shortcuts (cognitive biases?) that are not always useful anymore. But, knowledge *of* the fact of our preprogrammed illusions is not itself enough to liberate us *from* them. Wright explores some claims such as how meditation can give us insight into a less filtered form of reality, recognizing the danger of essentializing people and their motives, and attempting to develop a more impartial, universal perspective of peoples' actions. He has great hopes for a ""metacognitive revolution"" that could alleviate much of the seemingly ever-deepening entrenchment between people of different ideological vantage points.",,Fred Sanders,
